# Created by Octave 3.2.4, Sun Oct 28 00:59:49 2012 IST <mohit@mohit-N4050>
# name: z3
# type: matrix
# rows: 51
# columns: 2
 0 2.736278216457305e-06
 1 1.088680018124229e-05
 2 3.938028650424004e-05
 3 0.0001295078554357007
 4 0.0003872148218624071
 5 0.001052559013978588
 6 0.002601234812196617
 7 0.005844552726458815
 8 0.01193882606793522
 9 0.02217229203714985
 10 0.03743675316091671
 11 0.05746777496394127
 12 0.08020274078172775
 13 0.1017636458338266
 14 0.1173909795868057
 15 0.1231162606149145
 16 0.1173909795868057
 17 0.1017636458338266
 18 0.08020274078172775
 19 0.05746777496394127
 20 0.03743675316091671
 21 0.02217229203714985
 22 0.01193882606793522
 23 0.005844552726458815
 24 0.002601234812196617
 25 0.001052559013978588
 26 0.0003872148218624071
 27 0.0001295078554357007
 28 3.938028650424004e-05
 29 1.088680018124229e-05
 30 2.736278216457305e-06
 31 6.252574498519134e-07
 32 1.298961017047662e-07
 33 2.453420451573697e-08
 34 4.212951557885539e-09
 35 6.577177622279675e-10
 36 9.335364857711402e-11
 37 1.204652102367374e-11
 38 1.413287800834264e-12
 39 1.507433624646718e-13
 40 1.461788050069654e-14
 41 1.288751657718978e-15
 42 1.032981841770644e-16
 43 7.527569233741897e-18
 44 4.987184676604524e-19
 45 3.003964273789903e-20
 46 1.645025736171124e-21
 47 8.190100879364749e-23
 48 3.707186425117991e-24
 49 1.525591365344482e-25
 50 5.707824859013806e-27
